Gene1,Gene2,Read counts,In iPRINT_A,In iPRINT_B,In iPRINT_C,Read count_iPRINT_A,Read count_iPRINT_B,Read count_iPRINT_C
GATAD1,COP1,38,1,0,0,38,0,0
P4HA2,NEK4,63,1,0,1,33,0,30
VSIG1,CCL24,14,0,0,1,0,0,14
TM7SF3,EMC2,37,0,1,1,0,3,34
TSHZ2,SRGAP1,15,0,0,1,0,0,15
TMTC2,NPM2,17,0,1,0,0,17,0
ZNF461,RBM41,68,0,1,0,0,68,0
LZTS1,ABL2,19,0,1,1,0,18,1
TOGARAM2,TBC1D24,17,1,0,0,17,0,0
PRUNE1,C19orf47,24,0,1,0,0,24,0
UBXN6,PCDH11Y,14,1,1,1,5,1,8
ZNF234,CLSPN,25,0,1,0,0,25,0
TRMT9B,NOS1,93,1,0,1,91,0,2
RRN3,ODAPH,19,0,0,1,0,0,19
XIAP,FBLIM1,43,1,1,1,14,7,22
MEAF6,BRIP1,18,1,0,0,18,0,0
ZNF44,SIGLEC10,17,0,1,0,0,17,0
MAK,C1orf43,15,0,1,0,0,15,0
DENND6A,CLDN11,15,0,0,1,0,0,15
PAFAH1B2,HP1BP3,78,1,0,0,78,0,0
DAP3,CAMK1D,13,1,0,1,1,0,12
ZNF688,EPB41,19,1,0,1,3,0,16
DCAF10,CA5B,30,0,1,1,0,29,1
MZT2A,ATP6AP1L,28,0,0,1,0,0,28
ARSD,AHCYL2,42,1,1,0,41,1,0
NT5C2,ICOSLG,55,0,0,1,0,0,55
ZNF578,GATD1,44,0,1,0,0,44,0
MTLN,ADAT1,22,1,0,0,22,0,0
MANSC1,AP1S3,16,1,1,0,15,1,0
ZSWIM1,DFFB,18,0,1,0,0,18,0
HYAL1,DAB1,16,0,1,0,0,16,0
TLR2,ETFB,17,1,0,0,17,0,0
DAPP1,CDC20B,13,1,0,0,13,0,0
LOC100509620,DMC1,20,0,1,0,0,20,0
VWA7,CLK3,33,1,0,1,31,0,2
FBLIM1,CUX2,20,1,0,0,20,0,0
SKIDA1,CYCS,13,1,0,0,13,0,0
PFAS,NEK4,14,0,0,1,0,0,14
SLC25A19,MR1,13,0,0,1,0,0,13
LOC105379177,ATL2,13,1,0,1,12,0,1
NVL,CLYBL,13,1,0,0,13,0,0
VSTM4,ARIH2,23,1,1,1,18,3,2
GPSM2,ARHGAP45,13,1,1,0,12,1,0
STAT2,SMYD4,19,0,1,1,0,1,18
SAR1B,RHOBTB3,13,0,1,0,0,13,0
DENND6A,C1QTNF6,43,1,0,0,43,0,0
MTSS1,BLNK,94,1,1,1,51,26,17
SCAF11,OLFML2B,23,1,0,1,17,0,6
UVSSA,MPV17,23,0,1,0,0,23,0
UBE2E2,SASH1,42,0,0,1,0,0,42
OGDH,EPHA6,30,1,0,1,26,0,4
SGSM1,PIDD1,13,0,0,1,0,0,13
ZC3HAV1L,DPH5,17,1,0,0,17,0,0
MDM4,ITGA8,21,0,1,0,0,21,0
ZNF780B,PCDH11X,16,0,0,1,0,0,16
UBAP1L,CCDC88B,23,1,0,0,23,0,0
SLC44A1,SGO1,39,1,1,0,38,1,0
UPK3BL1,METTL21A,13,1,0,0,13,0,0
FAM111A,BRDT,76,0,1,0,0,76,0
TTBK2,KRIT1,26,0,0,1,0,0,26
WWTR1,CEBPZOS,27,1,0,0,27,0,0
PPP2R1B,CAMK4,15,1,0,0,15,0,0
NUDT9,MPP7,21,1,0,0,21,0,0
USP33,C12orf49,112,1,0,1,47,0,65
ZCCHC8,SYNRG,14,1,1,1,3,10,1
ZNF2,TMEM192,14,0,1,1,0,13,1
SERPINA10,MCPH1,34,0,0,1,0,0,34
PGAM5,EPB41,27,1,1,1,22,2,3
SPECC1,SCRN3,36,0,1,1,0,29,7
TMEM59,PPARA,82,0,0,1,0,0,82
ZSCAN31,ESYT2,56,0,0,1,0,0,56
CLTCL1,C1orf210,54,1,0,0,54,0,0
HIP1,CEP83,28,1,0,0,28,0,0
ZNF835,NEK10,53,1,0,0,53,0,0
ZNF805,IL6R,20,1,0,0,20,0,0
SKA1,OR7D2,13,1,1,0,10,3,0
SP110,MYEF2,26,0,1,0,0,26,0
PHGDH,LRTOMT,16,0,1,1,0,15,1
COA1,C11orf80,40,1,0,0,40,0,0
ZNF410,HOOK3,13,0,1,0,0,13,0
FCAR,C1orf174,74,1,0,0,74,0,0
MEAF6,INIP,91,0,0,1,0,0,91
SLC6A11,EYA3,15,1,0,0,15,0,0
UBA1,PRELID2,13,0,0,1,0,0,13
LPP,HMGB1,50,0,1,0,0,49,0
KBTBD12,CAMK1D,33,1,1,1,16,2,15
ZNF850,PIPOX,16,1,0,0,16,0,0
PANK1,AKAP5,29,0,1,0,0,29,0
ELOVL7,AK7,73,1,0,0,73,0,0
UBOX5,CASP10,28,0,1,0,0,28,0
SPOP,LGI1,15,1,0,0,15,0,0
USP1,PNPT1,14,1,0,0,14,0,0
CXADR,CPLANE1,14,0,1,0,0,14,0
UBE2E2,GALNT18,27,1,1,1,11,7,9
SCAI,KIAA1841,41,0,1,1,0,39,2
TTC3,TEP1,13,1,0,0,13,0,0
GATD1,C2orf83,36,0,0,1,0,0,36
STX3,C2orf50,28,1,0,0,28,0,0
CCDC144A,C3orf35,77,1,1,1,38,37,2
TTC3,MKNK1,20,1,1,1,7,7,6
POMC,PHGDH,35,1,0,0,35,0,0
LOC102723722,ANGEL2,29,1,0,0,29,0,0
NRIP3,HSPA12A,17,1,1,0,1,16,0
FOXK1,ADAM17,26,1,1,0,22,4,0
LRRC28,BRD1,71,1,1,0,69,2,0
PRPF4,FGFR1,26,1,0,0,26,0,0
TMEM170A,GATD1,96,0,0,1,0,0,95
DNAJC24,DGKH,111,1,1,1,5,3,103
TXK,TMEM132B,30,1,0,0,30,0,0
TBCA,RNASEH1,25,1,0,0,25,0,0
UEVLD,RAB42,13,0,0,1,0,0,13
MAPKAPK5,LPP,132,0,1,0,0,129,0
ZNF141,METTL22,31,1,1,0,13,18,0
SERPINB9,PCDH11Y,96,1,1,1,46,12,38
GDAP2,ERN1,21,0,1,0,0,21,0
PEX26,AK3,34,1,1,0,9,25,0
WWC1,RPL14,38,0,1,0,0,38,0
SGTB,AIMP1,16,1,0,0,16,0,0
ZNF33B,KPNA5,28,1,1,0,27,1,0
TECPR1,PQLC2,40,0,1,0,0,40,0
LOC102724488,FGFR1,17,1,0,0,17,0,0
ZMAT3,GMPS,62,1,0,1,25,0,37
MZT2A,BRI3,15,0,1,0,0,15,0
SGSM1,EPB41,85,1,0,1,8,0,76
RPS6KA6,MMP25,32,1,0,0,32,0,0
RIC3,NRXN1,36,1,1,1,23,9,4
STAT2,DAPP1,78,1,0,0,78,0,0
TOR1AIP2,GTPBP10,40,1,1,1,4,14,22
SUGP2,DNAJC16,27,1,0,0,27,0,0
FSD2,ADGRB3,18,0,0,1,0,0,18
RNASEH1,PNMA2,18,1,0,0,18,0,0
WDR45,SPATS2L,31,1,0,0,31,0,0
LIMS1,CASP8,15,1,0,0,15,0,0
TBC1D15,TAPBP,22,1,1,1,13,1,8
TTF2,PPP2R1B,25,1,0,1,1,0,24
INIP,GPR65,17,0,0,1,0,0,17
TATDN3,LMX1B,46,0,1,0,0,46,0
ZNF793,FBXL22,21,1,1,1,2,17,2
ZSCAN12,GGPS1,23,1,0,0,23,0,0
RNF170,PHACTR4,46,0,1,0,0,46,0
FLRT2,CGNL1,19,1,0,0,19,0,0
MGAT4C,COA1,75,0,1,0,0,75,0
SHISA9,ATF1,123,1,1,1,76,16,31
RNF144A,MYORG,64,1,1,0,22,42,0
PNPT1,IL10RB,18,0,0,1,0,0,18
ZYG11A,CASP6,21,1,0,0,21,0,0
SLC47A1,MAN2A2,22,1,0,0,22,0,0
PMS2,NRG4,159,1,0,0,159,0,0
PIWIL2,FBLIM1,26,1,0,1,1,0,25
FBXO4,CNTN1,19,1,1,0,1,18,0
ZNF461,SBNO1,27,0,0,1,0,0,27
POGZ,FBXL20,15,1,1,1,7,7,1
TPM3,TFDP2,15,1,1,1,3,7,5
ZNF714,MIGA1,16,0,0,1,0,0,16
MREG,CDC40,13,1,0,1,1,0,12
KLHL28,ENTPD1,28,1,0,0,28,0,0
TMEM170A,ATP9B,17,1,1,0,5,12,0
TRMT5,OXNAD1,36,1,1,0,35,1,0
TESPA1,GBP4,57,1,1,1,14,10,33
EXOG,DNAJC21,27,0,0,1,0,0,27
XKR9,HTR3B,15,1,1,0,6,9,0
RUNDC1,NRG4,220,1,1,1,102,58,60
ZBTB43,PRKCI,15,1,0,0,15,0,0
ZFP82,KBTBD12,26,1,1,0,24,2,0
SMIM14,LRRC27,49,0,1,0,0,49,0
SLC35F6,RABGAP1L,21,0,0,1,0,0,21
SERPINB9,CCDC122,70,1,1,1,17,13,40
DBF4B,ABLIM1,36,0,0,1,0,0,36
PIGR,DUSP10,13,0,1,0,0,13,0
FMN1,CRX,26,1,1,1,12,1,13
ZNF620,REPS2,14,1,0,0,14,0,0
SLC9A7,IPO9,14,1,0,1,7,0,7
NCBP1,CTSS,13,0,1,0,0,13,0
ARHGAP26,ACTR3C,16,1,1,1,5,4,7
LUZP2,CYP20A1,27,0,1,0,0,27,0
SMIM14,KIAA1191,20,1,0,0,20,0,0
UEVLD,RALGAPB,18,0,0,1,0,0,18
P4HA2,DSG3,46,1,1,1,5,4,37
RAB15,ERVV-1,21,1,0,0,21,0,0
ZNF490,PHACTR4,18,1,1,1,15,2,1
OLFML2A,CEP89,16,0,1,1,0,2,14
CDKL4,C11orf42,14,0,0,1,0,0,14
XYLB,LOC105372269,265,1,1,1,172,43,50
FAM126B,CYP4V2,48,0,0,1,0,0,47
SPAST,MCF2L2,18,1,0,1,16,0,2
ZMAT3,PCDH11Y,79,1,1,1,12,3,64
SP4,LYRM7,37,1,1,0,2,35,0
RFC2,DIS3L,16,0,0,1,0,0,16
ZC3HAV1L,SENP2,14,0,1,0,0,14,0
TMSB15B,RUBCN,13,0,0,1,0,0,13
GPR82,AP3M1,30,0,0,1,0,0,30
TPK1,PHACTR4,16,1,0,0,16,0,0
ZHX3,UNC13A,26,0,0,1,0,0,26
OSBPL2,DFFA,24,1,0,1,1,0,23
SULT1C3,LOC100130451,19,0,1,0,0,19,0
MTG2,ARNTL2,99,0,0,1,0,0,99
NFKBID,CHMP1B,19,1,1,0,1,18,0
ORAI2,CYB5R3,13,0,0,1,0,0,13
ZNF761,FAM153A,133,0,1,0,0,133,0
MEAF6,ATP6AP1L,24,0,0,1,0,0,24
TUBD1,EPB41,142,1,0,0,136,0,0
UBAP1L,TATDN3,67,1,1,1,58,2,7
TXK,MED17,18,1,0,0,18,0,0
ZNF445,GDPD1,13,1,0,0,13,0,0
MREG,CYP4V2,18,1,1,0,17,1,0
VPS53,DUSP19,27,1,0,0,27,0,0
ZNF770,NXN,20,1,1,0,2,18,0
LOC105374301,ANKRD53,103,1,1,1,64,27,12
NUP50,FAM117B,20,0,0,1,0,0,20
SLC33A1,IKZF3,13,1,1,0,1,12,0
ZYG11A,GLB1L3,29,1,0,0,29,0,0
PIK3CD,AGMAT,26,1,0,0,26,0,0
FBXL14,AP3M1,26,1,0,1,2,0,24
VPS53,PLAC8,13,0,1,0,0,13,0
TEK,HS6ST3,62,0,1,0,0,62,0
PLEKHB1,PGPEP1,33,1,0,0,33,0,0
ZDHHC20,WISP1,26,0,0,1,0,0,26
ERI1,CCL28,23,1,0,0,23,0,0
USP33,DRAM1,25,1,0,0,25,0,0
MAP4K2,LOC728485,14,0,0,1,0,0,14
MAPK13,DNAAF1,20,1,0,0,20,0,0
PPP2R1B,OGFRL1,65,1,1,0,25,40,0
THOC5,ABHD18,24,1,0,0,24,0,0
PLPP4,KLRD1,30,0,1,0,0,29,0
SETMAR,PLEKHH1,55,1,0,0,55,0,0
TFDP2,QPRT,22,1,0,0,22,0,0
SYNPO2,ROCK2,16,1,0,0,16,0,0
PCSK5,FBXW2,19,0,1,0,0,19,0
SP110,MDN1,13,0,1,0,0,13,0
TBC1D17,EPHA6,32,1,0,0,32,0,0
GLTP,FCHSD1,24,0,1,0,0,24,0
GPR135,BVES,36,0,1,1,0,35,1
UVSSA,RAB3B,28,1,1,1,16,2,10
LOC285500,C19orf47,42,0,1,1,0,1,41
ORAI2,ACER1,28,1,0,0,28,0,0
SPATA5,AK4,32,0,1,0,0,32,0
LRRN4CL,FBXO44,20,1,0,0,20,0,0
HNRNPUL1,ARL16,20,0,1,0,0,20,0
TBXAS1,ATRNL1,35,1,1,1,23,8,4
PRPF18,MSRB3,29,1,1,0,20,9,0
TMC5,GPSM2,26,0,0,1,0,0,26
PURB,FAAP24,27,1,0,0,27,0,0
ZNF34,ACTR3C,27,1,1,0,4,23,0
PTPRJ,LOC112267897,13,0,1,1,0,9,4
SENP8,ATP6V0A2,23,1,1,0,22,1,0
ZNF221,VSTM4,19,1,1,1,2,2,15
LRRC27,IGF2BP2,29,0,1,0,0,29,0
KIF6,ATP8B1,22,1,0,0,22,0,0
UIMC1,PARP16,18,0,1,0,0,18,0
INMT,FAXC,25,0,1,0,0,25,0
ZNF483,ALG9,21,1,0,0,21,0,0
ZNF347,ATP6V0A2,15,1,0,0,15,0,0
TAF8,SPPL2A,22,1,1,1,9,12,1
NPM1,C21orf62,17,0,1,0,0,17,0
SMG1,DBT,26,1,1,0,1,25,0
ZNF688,ATL2,14,1,0,0,14,0,0
SPATS2L,LIN9,23,0,0,1,0,0,23
ZNF320,LLGL1,25,0,1,0,0,25,0
PHACTR2,ACTR8,30,1,0,0,30,0,0
HAAO,ERLEC1,32,1,1,0,29,3,0
SP2,ARHGAP26,73,1,1,0,5,68,0
SPDYE1,PRKCE,13,1,1,0,1,12,0
ZNF429,ENTPD1,55,0,1,1,0,28,27
ZNF155,DNM1L,23,1,1,0,1,22,0
CNTN4,CFLAR,117,1,0,0,117,0,0
LOC107987477,EPHA6,21,0,1,0,0,21,0
PRR11,FGD6,13,0,1,0,0,13,0
RBL1,GPR18,28,0,0,1,0,0,28
MSANTD2,DENND6B,24,0,0,1,0,0,24
ZNF250,LRCH3,23,1,1,0,2,21,0
ZNF250,PPEF2,19,1,0,0,19,0,0
ZDHHC15,SLC12A8,14,0,0,1,0,0,14
ODAPH,NCKAP5,14,0,1,0,0,14,0
SPN,METTL8,50,0,1,0,0,50,0
NFAM1,CCDC57,118,0,1,0,0,118,0
SGTB,IVD,40,1,0,0,40,0,0
SRSF10,SERPINE3,14,0,0,1,0,0,14
ZNF805,RNF157,13,1,0,0,13,0,0
TOP3A,GPR155,61,0,1,1,0,2,59
PAQR7,NOM1,30,1,1,0,1,29,0
PTCHD4,LDLR,23,1,0,1,19,0,4
CYP2F1,CEP97,44,0,0,1,0,0,44
TRIM5,AKT3,29,0,0,1,0,0,29
PHKG2,L1TD1,37,0,1,0,0,37,0
FAM106B,DBT,13,0,1,0,0,13,0
WDR31,UBOX5,21,1,0,0,21,0,0
ZNF519,MR1,13,0,1,1,0,1,12
LYN,LAX1,17,0,0,1,0,0,17
RBMS2,CYP20A1,27,1,1,1,15,6,6
LYZ,KIF18B,27,1,1,0,3,24,0
OPHN1,EPPIN,17,1,1,0,12,5,0
TVP23C,DSTYK,19,1,0,1,1,0,18
ZNF454,CYP4V2,19,1,1,0,18,1,0
SP2,LIX1L,26,1,0,1,1,0,25
UTP23,SLC43A2,24,0,1,0,0,24,0
FBLIM1,ASPA,31,1,1,1,11,3,17
SLC35E3,RARS2,70,1,1,1,1,4,65
MITD1,CXorf38,51,0,1,0,0,51,0
PACSIN2,ING5,13,1,0,0,13,0,0
PRXL2A,LRCH3,41,1,0,0,41,0,0
RIPPLY3,NATD1,24,1,0,0,24,0,0
TGFBRAP1,FLT4,187,0,1,0,0,187,0
LRRC28,ACTR3C,26,0,1,0,0,24,0
SMIM14,CXXC1,19,0,1,0,0,19,0
SDHAF2,NXPE3,15,1,1,0,7,8,0
DAPP1,ADAMTS13,27,0,0,1,0,0,27
KPNA5,GK5,45,0,1,0,0,45,0
PAPD4,CFLAR,58,0,0,1,0,0,57
ZNF793,ATP13A3,17,0,1,0,0,17,0
TUBD1,PRDM2,18,0,0,1,0,0,18
SERPINB9,ACER3,80,1,0,1,71,0,6
DZANK1,ATAD3C,27,1,0,0,27,0,0
RNF7,MAPKAP1,23,0,0,1,0,0,23
ZNF780B,TSTD3,28,1,0,0,28,0,0
TMEM132B,CLUAP1,19,1,0,0,19,0,0
NOTCH4,GPSM3,21,1,1,0,2,19,0
SCNM1,IRAK4,16,1,0,0,16,0,0
ICMT,ANAPC16,23,1,1,0,21,2,0
LYRM7,KREMEN1,23,1,1,0,7,16,0
PLEKHH1,C21orf62,19,0,0,1,0,0,18
ZNF347,KIF1B,15,1,1,0,14,1,0
SCML2,HTD2,18,1,0,0,18,0,0
ZNF454,PTGES3L,35,0,1,1,0,34,1
CYP4V2,AP3M1,82,1,0,1,34,0,48
RAB3IP,MPST,25,1,1,0,24,1,0
PPM1L,ACADSB,19,1,1,1,7,9,3
RBMS1,PURB,14,1,0,0,14,0,0
TTC3,PIGR,13,1,1,0,6,7,0
RBBP9,GALNT6,57,1,0,0,57,0,0
MED18,KIAA1324,38,0,1,0,0,38,0
DSEL,COA1,16,0,0,1,0,0,16
ZC3H12B,TMEM132B,50,1,1,0,48,2,0
TRIM16,SALL4,38,1,1,0,1,37,0
ZNF805,CDK19,53,1,1,0,52,1,0
TCTN1,STAT2,35,1,0,0,35,0,0
SYDE2,BCL2L15,21,1,1,0,3,18,0
TYW1,CEP83,20,1,1,1,9,6,5
MPIG6B,FOXK1,14,1,1,0,13,1,0
SERPINE3,IKZF3,49,0,0,1,0,0,49
CCDC122,APOL4,31,0,1,1,0,4,27
PLEKHA2,GATD1,27,1,0,1,2,0,25
ZNF429,SLC5A5,25,1,0,1,4,0,21
KIAA1958,COP1,18,0,1,0,0,18,0
ZNF699,RFTN2,19,1,1,0,12,7,0
VSIG1,MCM8,15,1,1,1,2,3,10
TMOD3,DGKH,29,1,0,0,29,0,0
PLEKHG2,CCL5,13,1,1,1,4,4,5
SIGLEC14,NRIP3,15,1,0,0,15,0,0
ZNF589,ZNF528,84,0,1,1,0,31,53
WDPCP,SYNJ1,21,1,0,0,21,0,0
HEATR3,GXYLT2,19,1,0,0,19,0,0
ERLIN2,CXorf56,31,1,0,1,1,0,30
TMX4,GOSR1,14,1,0,0,14,0,0
STX8,MKNK1,13,1,0,1,10,0,3
ZNF667,CHML,63,1,1,1,27,31,5
SERPINB9,ATP9B,43,1,0,1,29,0,14
ZNF667,DZIP3,28,1,1,1,5,4,19
TOR1AIP2,LSM14A,18,1,0,0,18,0,0
PCDH11Y,MPIG6B,23,1,0,0,23,0,0
PAPLN,OPTN,51,1,0,0,51,0,0
POU2AF1,FBXL22,33,1,0,0,33,0,0
TCP11L1,STX2,62,1,1,1,3,58,1
TRIP11,KIAA1671,21,1,0,0,21,0,0
EIF4ENIF1,DNPEP,92,1,0,0,92,0,0
TMEM41B,TMEM131L,13,1,1,0,10,3,0
PWWP2A,NUBP2,28,1,1,0,3,25,0
INPP5B,HYKK,30,0,1,0,0,30,0
PDE4C,DDX51,13,1,1,0,2,11,0
UTP11,NRG4,32,0,1,1,0,16,16
MCTS1,MAPKAPK5,15,1,1,0,14,1,0
RFT1,GUF1,14,1,0,0,14,0,0
ZNF329,COX6B2,31,0,0,1,0,0,31
YES1,MANEAL,28,1,1,1,24,3,1
ZNF34,ACAD9,21,1,1,0,20,1,0
CCDC170,AFMID,67,1,0,0,67,0,0
PPP6R3,GBP4,23,1,1,1,1,16,6
P4HA2,MFSD4A,22,0,0,1,0,0,22
SMIM17,PPP6R3,13,1,1,0,11,2,0
KIAA1328,ATL2,21,0,0,1,0,0,21
PAK3,OSBPL2,134,1,1,0,132,2,0
STK32C,MLANA,15,1,0,0,15,0,0
TATDN3,PLA2G4C,46,1,0,1,8,0,38
SLC25A35,P3H4,18,1,0,0,18,0,0
FBXL20,EYA3,15,1,1,0,1,14,0
SCO1,MIGA1,13,1,1,0,12,1,0
NLRP3,CFLAR,148,1,0,0,148,0,0
TERF1,DNMT1,59,0,1,0,0,59,0
PLEKHG2,LRRC27,26,1,0,1,10,0,16
SLC2A4,IFNLR1,16,1,1,1,9,3,4
TEP1,ISG20L2,15,1,1,0,10,5,0
ODF2L,MKRN2OS,36,0,1,1,0,7,29
VSTM4,ARPP19,34,0,1,0,0,34,0
ZNF793,CPPED1,47,1,1,0,45,2,0
TOR1AIP2,STAC2,18,1,0,0,16,0,0
TSPYL1,GREB1,17,1,0,0,17,0,0
TYW1,PRR11,18,1,0,1,16,0,2
SLC37A2,IRGM,45,1,1,1,20,19,6
HUNK,FKRP,22,0,1,0,0,22,0
ZNF595,IFT22,62,0,0,1,0,0,62
SLC6A4,NUP58,14,0,1,0,0,14,0
WDR74,UGGT1,28,1,1,0,1,27,0
SEMA4D,C12orf50,18,1,0,0,17,0,0
CRPPA,BCL2L12,13,0,1,0,0,13,0
ZNF224,RNF152,19,0,0,1,0,0,19
KIN,F2R,15,1,1,0,9,6,0
RPL29,PCGF5,21,1,0,0,21,0,0
PSTPIP2,FXN,18,1,0,0,18,0,0
ZNF490,CD24,15,1,1,0,1,14,0
NF2,CDK11B,31,1,1,0,30,1,0
SLC30A4,PCBD2,15,0,1,0,0,15,0
EMC1,CEP89,22,1,1,0,21,1,0
SLTM,DZANK1,17,0,1,0,0,17,0
TCF7,CAMK1D,20,1,1,0,1,19,0
RNF41,FEZ1,13,0,1,0,0,13,0
LOC400499,ATP6V1A,14,0,1,0,0,14,0
VSIG1,BLOC1S2,37,1,1,0,4,33,0
OTUD6A,MIGA1,19,0,1,1,0,2,17
VTI1A,ELK4,21,0,1,0,0,21,0
FUT6,CTH,19,0,0,1,0,0,19
PPIL6,IL6R,34,1,1,0,1,33,0
PDE6A,PAG1,68,1,0,0,68,0,0
NFYC,CAMK1D,13,1,1,1,7,5,1
ZNF850,MPPE1,17,1,0,0,17,0,0
RPS6KA3,DNAJC16,40,0,0,1,0,0,40
LARGE1,KCTD20,16,1,0,0,16,0,0
CYP4V2,ACOT9,15,0,1,1,0,2,13
LRIG2,FCRL6,26,1,0,0,26,0,0
TMEM18,FHIT,14,1,0,0,14,0,0
SLC31A1,GATD1,32,1,1,0,2,30,0
SYN3,RNF14,33,1,0,0,33,0,0
FAM180A,CAMK1D,15,0,1,1,0,6,9
ZNF662,EPB41,46,1,0,0,46,0,0
SRSF10,CAMK1D,26,1,1,1,5,17,4
PCDH11Y,GBP4,25,1,1,1,15,7,3
OSBPL2,LYRM7,29,1,1,1,3,22,4
PTPRB,CPPED1,27,0,0,1,0,0,27
GNAL,GATD1,113,0,0,1,0,0,112
SYNE3,MEGF11,33,0,1,1,0,1,32
SERPINB9,INTS8,27,1,1,1,4,5,18
CACUL1,ANKRD44,13,1,1,0,1,12,0
LOC112268260,F11R,14,1,0,0,14,0,0
ZMYM5,AP3M1,41,1,0,0,41,0,0
RPGRIP1L,PLEKHH1,21,0,1,0,0,21,0
TUBD1,PTPRC,14,1,0,0,14,0,0
PPFIBP1,GPSM2,22,0,0,1,0,0,22
FLT1,DNAH10,50,1,1,0,1,49,0
UNK,ANAPC16,26,1,1,0,23,3,0
MXRA7,ACTR3C,44,1,1,1,31,5,8
SP110,MITD1,36,1,1,0,35,1,0
UBXN6,EHMT1,17,1,0,1,10,0,7
ZNF426,SWAP70,16,1,0,1,15,0,1
TRAF6,RMDN1,15,1,0,1,1,0,14
TMEM131L,OLFML2A,33,1,1,0,32,1,0
ZNF570,KLHL28,24,1,1,0,1,23,0
RPS6KB2,PTPRCAP,26,0,1,0,0,26,0
MAP3K8,IKBKB,58,1,0,0,58,0,0
NUBPL,IL11,53,0,1,0,0,53,0
MPPE1,METTL25,22,1,0,0,22,0,0
MKNK1,FUT2,19,1,0,1,11,0,8
SPN,LRP2BP,25,0,1,1,0,2,23
PRKCE,METTL16,16,1,0,0,16,0,0
SKA1,CPT1A,18,1,0,0,18,0,0
SNRPD3,BBOF1,32,0,0,1,0,0,32
NR3C1,INMT,17,1,1,0,3,14,0
RPL7L1,MMS22L,15,0,0,1,0,0,15
SP100,SLC16A7,15,1,0,0,15,0,0
FGFR1,CLSPN,16,0,0,1,0,0,16
NRG4,CRX,32,1,1,1,28,1,3
TNIP1,GPX8,26,0,1,0,0,26,0
STRIP2,LIPN,25,0,0,1,0,0,25
FNIP2,CTSC,140,1,1,1,60,41,39
NRG4,ABCD2,46,1,1,1,44,1,1
TLR10,ARHGEF6,110,0,1,0,0,110,0
ZNF133,FAM234B,21,1,0,0,21,0,0
CTSB,ABCB5,18,1,0,1,3,0,15
METTL24,C5orf22,52,1,1,0,2,50,0
SCAF11,KREMEN1,51,0,1,0,0,51,0
PRLR,GOLGA2,41,1,1,0,40,1,0
ZNF554,ZC3H12D,19,1,0,0,19,0,0
MOG,GPR132,17,1,0,0,17,0,0
TAF8,DENND2A,14,1,1,0,1,13,0
SELENON,PM20D2,13,0,0,1,0,0,13
UGT8,ABCA9,15,1,1,1,11,1,3
RABGAP1L,LRRC27,26,1,0,0,26,0,0
ZNF415,MREG,19,1,0,0,19,0,0
PSMD12,LRRC28,102,1,0,0,102,0,0
ZNF426,PLEKHG3,65,1,1,0,2,63,0
ZNF718,ARPP19,31,0,1,0,0,31,0
MTCH2,BRPF1,31,1,0,0,31,0,0
TCP11L1,RUBCN,70,1,1,0,68,2,0
PSPC1,PPP6R3,18,1,0,0,18,0,0
VNN2,RPS6KA3,109,1,0,0,109,0,0
ZNF461,GVQW3,16,0,1,0,0,16,0
SPATA5,LLGL1,38,1,0,0,38,0,0
RNF157,BBOF1,48,1,0,0,48,0,0
PLEKHG2,DZIP3,17,0,0,1,0,0,17
SWAP70,MR1,34,1,0,0,34,0,0
TRPM7,RBBP5,92,1,1,1,47,1,44
ZNF429,RASGRP4,50,1,0,0,50,0,0
TMEM209,SGTB,13,1,0,0,13,0,0
SLC39A14,MAP1LC3C,32,0,0,1,0,0,32
PAXBP1,GFOD2,13,1,1,0,12,1,0
SERPINB1,FAM217B,21,1,0,0,21,0,0
ZNF793,STAC2,24,1,1,1,1,2,21
SRP72,GPX8,14,1,0,0,14,0,0
TMEM126B,CCDC144NL,18,0,1,0,0,18,0
UPK1B,SOAT1,15,1,0,0,15,0,0
STAC2,SPTBN2,79,1,0,0,79,0,0
KIAA0355,CPPED1,39,1,0,1,27,0,12
TMEM59,CNBP,19,1,0,0,19,0,0
TMEM105,TCP11L1,15,1,0,0,15,0,0
CGNL1,ACER3,82,0,0,1,0,0,82
MXRA7,LOC100996716,21,1,0,0,21,0,0
HIF3A,DNAL1,50,0,0,1,0,0,50
MPP7,CDK5R1,13,1,0,0,13,0,0
ZMAT3,DFFA,21,1,1,1,4,16,1
POU5F1,PLEKHH1,46,1,0,0,46,0,0
NANP,LPP,17,1,0,0,17,0,0
STK4,FMN1,77,1,1,0,75,2,0
PKNOX1,PDP2,39,1,0,1,36,0,3
TYW5,LPP,815,1,1,1,627,112,76
DCUN1D2,AK1,40,1,0,0,40,0,0
SLC26A5,ATP8A2,35,1,1,1,7,23,5
STXBP5L,PIGX,18,0,0,1,0,0,18
SLC31A1,OGFRL1,38,1,1,1,3,33,2
WISP1,SLCO5A1,15,1,0,0,15,0,0
TAF11,C3orf35,25,1,1,1,19,3,3
RPL7L1,CCDC144A,16,1,0,1,15,0,1
MFSD4B,CPT1A,21,1,0,1,7,0,14
TRMT2B,APOLD1,34,0,1,1,0,1,33
FBLIM1,ACVRL1,31,1,0,0,31,0,0
SH3RF2,DPH5,21,0,0,1,0,0,21
SFXN1,PAQR7,17,0,0,1,0,0,17
CAMK1D,ACTR3C,25,1,0,0,25,0,0
DCUN1D2,APOL6,28,0,0,1,0,0,28
